wallet,source_url,title,is_security_fix,silent_fix_prob,vuln_class,reason,mechanism
specter,https://github.com/cryptoadvance/specter-desktop/commit/08b63f8193e5029bc33a19702f346c2cf0c1fa41,Security: CVE-2007-4559 Patch (#1927),1,0.8,platform,"Patches a path traversal vulnerability (CVE-2007-4559) in the wallet's own tarfile extraction logic, preventing arbitrary file writes that could lead to code execution or key compromise.",input-bounds-parsing
zcash,https://github.com/zcash/zcash/commit/812d0ac44bf99df7f07f8322adcf3f87e281d802,Fix of CVE-2017-18350,1,0.85,memory,"Fixes CVE-2017-18350: a signed-char-to-int conversion in SOCKS5 proxy response parsing could cause a negative length value, leading to a buffer overflow reachable from a malicious proxy server, potent",input-bounds-parsing
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/1424,fix backward compatibility issue with existing electrum wallets,1,0.65,key_material,"Fixes incorrect BIP-32 derivation for Electrum wallets where mainHd was wrongly derived from the seed via a path instead of using the seed directly, which could cause users to lose access to funds at ",key-derivation-storage
status-go,https://github.com/status-im/status-go/pull/858,Full wallet compatibility,1,0.75,key_material,"Fixes non-standard BIP-39/BIP-32 key derivation by replacing the custom 'status-im' mnemonic salt and variable HMAC salt with the spec-mandated 'mnemonic' and 'Bitcoin seed' constants, preventing user",key-derivation-storage
sparrow,https://github.com/sparrowwallet/sparrow/commit/32a35ed2c06c0e7a19d78ef3cd2cc562e41e0b38,add bip32 derivation fallback when retreiving signing nodes for high-index inputs,1,0.65,key_material,"Adds a BIP-32 derivation fallback for high-index inputs when retrieving signing nodes, fixing a path where key derivation for signing could fail or produce incorrect results, which is custody-relevant",key-derivation-storage
bitcoin-core,https://github.com/bitcoin/bitcoin/pull/18427,Bugfix? Restore linking to libmingwthrd,1,0.65,key_material,"Restores linking to libmingwthrd to ensure thread-safe stdlib on MinGW builds, preventing the weak-RNG condition that caused CVE-2012-1910 (predictable key generation on Windows).",nonce-or-randomness
bitcoin-core,https://github.com/bitcoin/bitcoin/pull/33788,[29.x] Backport fixes for CVE-2025-46598,1,0.65,signing,"Backport of CVE-2025-46598 fixes touching the signer subsystem, a custody-relevant signing path, even though the visible diff portion only shows build/CI/config changes.",other
electrum,https://github.com/spesmilo/electrum/commit/3d3907429422bdc053c94b260a9891fcdf13f9da,verifier.py: fix CVE-2012-2459: reject left-sibling duplicates,1,0.72,other,"Adds a left-sibling-duplicate check to SPV merkle verification (CVE-2012-2459), preventing a hostile RPC node from forging a merkle proof that could trick the wallet into believing a phantom transacti",protocol-counterparty
metamask,https://github.com/MetaMask/metamask-extension/pull/17521,Update SES Version - Vulnerability Fix,1,0.8,platform,Updates the wallet's SES lockdown initialization code to fix a prototype pollution / lockdown bypass vulnerability in the runtime security boundary.,privilege-isolation
aptos,https://github.com/aptos-labs/aptos-core/pull/19068,Various aptos-dkg edits,1,0.9,mpc,"Removes panic-prone `expect`/`assert` calls in DKG/PVSS `chunky` verification code and replaces them with proper error handling, explicitly referencing security advisory GHSA-c7q6-cf5c-8xxr to close a",other
bitcoin-core,https://github.com/bitcoin/bitcoin/commit/1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,validation: correct lifetime of precomputed tx data,1,0.9,memory,"Fixes a use-after-free (CVE-2024-52911) in block validation where a crafted invalid block causes nodes to read freed memory, a memory-corruption bug reachable from untrusted peer input that could lead",other
brave-wallet,https://github.com/brave/brave-core/pull/14096,Move Solana ledger integration to untrusted iframe,1,0.72,platform,"Isolates Ledger hardware wallet JS libraries (which handle signing/key communication) into an untrusted iframe, preventing a compromised or vulnerable library from executing in the privileged wallet p",privilege-isolation
brave-wallet,https://github.com/brave/brave-core/pull/33824,Address GHSA-43fc-jf86-j433 (uplift to 1.88.x),1,0.8,other,The PR uplifts a fix for a GitHub Security Advisory (GHSA-43fc-jf86-j433) and touches security-sensitive subsystems like crypto and signer.,other
brave-wallet,https://github.com/brave/brave-core/pull/30122,fix https://github.com/advisories/GHSA-76c9-3jph-rj3q (uplift to 1.80.x),1,0.6,other,"The PR title explicitly references fixing GitHub security advisory GHSA-76c9-3jph-rj3q and touches crypto/signer subsystems, though the visible diff only shows CODEOWNERS changes with the actual fix l",other
brave-wallet,https://github.com/brave/brave-core/pull/30121,fix https://github.com/advisories/GHSA-76c9-3jph-rj3q (uplift to 1.81.x),1,0.82,signing,"The PR title explicitly references fixing GitHub Security Advisory GHSA-76c9-3jph-rj3q and the structural context confirms crypto/signer subsystems are touched, indicating a vulnerability fix being up",other
brave-wallet,https://github.com/brave/brave-core/pull/28092,address GHSA-jr5f-v2jv-69x6 (uplift to 1.76.x),1,0.72,other,"The PR title explicitly references GitHub Security Advisory GHSA-jr5f-v2jv-69x6 and is an uplift of a security fix to the 1.76.x branch, though the actual security-relevant code is in the truncated po",other
brave-wallet,https://github.com/brave/brave-core/pull/14373,Move Ethereum Ledger integration in untrusted iframe,1,0.65,platform,"Moves Ledger Ethereum interaction libraries (which process untrusted signing requests and device communication) into an untrusted iframe context, hardening the isolation boundary so a compromised Ledg",privilege-isolation
brave-wallet,https://github.com/brave/brave-core/pull/14332,Move Solana Ledger integration to untrusted iframe (uplift to 1.42.x),1,0.65,transport,Moves Solana Ledger hardware wallet integration into an untrusted iframe to isolate signing communication from potentially malicious web content.,privilege-isolation
eclair,https://github.com/ACINQ/eclair/pull/51,Added integration tests on htlc relaying in on-chain scenarios,1,0.6,other,"Fixes a preimage extraction bug from the blockchain and concurrent parent-children tx publishing issues, both of which could cause the Lightning node to miss HTLC claim windows and lose funds.",protocol-counterparty
electrum,https://github.com/spesmilo/electrum/pull/4895,plugins/digitalbitbox: compatibility with firmware v5.0.0,1,0.78,transport,"Adds HMAC authentication to the encrypted USB communication channel with the Digital Bitbox hardware wallet, preventing bit-flipping/tampering attacks on signing requests and responses that previously",transport-encryption
metamask-mobile,https://github.com/MetaMask/metamask-mobile/pull/8160,[cherry-pick] fix: PPOMController related issues in blockaid integration (#8085),1,0.65,ui_deception,"Fixes PPOMController storage crash in Blockaid phishing-detection integration, which if triggered by untrusted transaction input would bypass malicious-transaction warnings and expose users to approvi",other
trust-provider,https://github.com/trustwallet/trust-web3-provider/pull/102,Improve eth_sign compatibility,1,0.7,signing,"Routes UTF-8 message signing requests to signPersonalMessage (EIP-191 prefixed) instead of raw eth_sign, preventing signatures over arbitrary hashes that could be replayed as transactions.",replay-scope
wallet-core,https://github.com/trustwallet/wallet-core/pull/4299,fix(xrp): Fix Ripple.proto Kotlin compatibility,1,0.65,signing,"Ripple transaction parameters (destination_tag, source_tag, flags, escrow timestamps) were corrupted by Kotlin's signed-integer overflow on uint32 proto fields, causing the wallet to sign transactions",type-state-consistency
zeus,https://github.com/ZeusLN/zeus/pull/1305,LNURL-auth: LNDHub: compatibility mode for Alby and BlueWallet,1,0.82,key_material,"The old LndHub lnurlAuth returned the user's plaintext LNDHub credentials (username:password) as the auth signature to any service, leaking key material to untrusted LNURL-auth endpoints; the fix deri",key-derivation-storage
metamask-mobile,https://github.com/MetaMask/metamask-mobile/commit/9c39bb6b77f5e62d1d141831a9f46d8d0bf47ed6,fix: setApprovalForAll nonce too low (#13142),1,0.65,approval,"Fixes a regression in setApprovalForAll transaction review where the nested transaction object (carrying the correct nonce) was not destructured, restoring proper approval-transaction construction tha",type-state-consistency
monero-gui,https://github.com/monero-project/monero-gui/pull/3914,main: disable setting -platformpluginpath,1,0.9,platform,"Disables the -platformpluginpath argument to prevent arbitrary code execution via malicious Qt plugins (CVE-2021-3401), which could lead to key material theft.",code-injection-context
status-mobile,https://github.com/status-im/status-legacy/pull/9952,fixes ENS to new registry,1,0.85,ui_deception,"Updates the ENS registry address to the new secure registry (GHSA-8f9f-pc5v-9r5h), preventing the wallet from resolving names against the old vulnerable registry which could return spoofed addresses a",protocol-counterparty
uniswap-interface,https://github.com/Uniswap/interface/pull/7217,Patch for CVE-2023-39027 (Insecure Permissions Vulnerability in Uniswap Interface),1,0.9,platform,"The diff removes 'unsafe-inline' from the Content Security Policy script-src directive, mitigating DOM-based XSS vulnerabilities that could allow code execution and compromise wallet custody.",code-injection-context
zeus,https://github.com/ZeusLN/zeus/commit/c456a70d61341f96b25f7e10907e2c6521f8afda,replace elliptic with @noble/secp256k1 (CVE-2025-14505),1,0.8,signing,Replaces a vulnerable cryptographic signing library (elliptic) with a secure one (@noble/secp256k1) in the wallet's own signing path to remediate a CVE.,dependency-supply-chain
bitcoin-core,https://github.com/bitcoin/bitcoin/pull/13479,contrib: Fix CVE-2018-12356 by hardening the regex,1,0.8,signing,Anchors the GPG signature verification regex to the start of the line to prevent signature spoofing (CVE-2018-12356) where an attacker could inject a fake VALIDSIG status line.,signature-verification-gap
electrum,https://github.com/spesmilo/electrum/pull/6199,plugins/bitbox02: fix compatibility with bitbox02-3.0.0,1,0.85,signing,"The fix requires the full previous transaction (prev_tx) to be present and passes its complete inputs/outputs/version/locktime to the BitBox02 device during signing, eliminating a blind-signing path w",signature-verification-gap
onekey-app,https://github.com/OneKeyHQ/app-monorepo/pull/9336,fix: improve Hyperliquid SDK compatibility and perps i18n message handling OK-47453 OK-47475 OK-47653,1,0.6,signing,"The approveAgent signature extraction previously read `type` and `signatureChainId` from unsigned fields in the SDK response, which could be tampered with by a hostile source; the fix replaces them wi",signature-verification-gap
rabby,https://github.com/RabbyHub/Rabby/pull/721,fix: compatibility issue when use Ledger on Gnosis Safe website,1,0.75,signing,"Adds a guard that rejects Ledger typed-data signing requests for non-v4 formats, preventing a scenario where a malicious dapp could cause the Ledger to sign over data interpreted differently than what",signed-differs-from-shown
metamask,https://github.com/MetaMask/metamask-extension/pull/13131,Refactor token send/method confirmation flow,1,0.8,ui_deception,"The diff refactors the transaction confirmation flow to correctly fetch and display token/NFT details (including ERC721/ERC1155 standards) and adds UI warnings for asset access/spending, fixing a UI d",signed-differs-from-shown
onekey-app,https://github.com/OneKeyHQ/app-monorepo/commit/08cf34093c3f48cb0b2bfe8f6bfc22688780e013,"fix(send): medium priority send UI fixes (OK-52550, OK-52559, OK-52668, OK-52669, OK-52673, OK-52681, OK-52682, OK-52683",1,0.65,ui_deception,"Adds strict validation of XRP destination tags to prevent silent Number() coercion (e.g. '0x10'→16, '1e2'→100) that could cause a user to sign a transaction with a wrong-but-valid destination tag, res",signed-differs-from-shown
bitgo,https://github.com/BitGo/BitGoJS/pull/8236,fix: resolve hashgraph vulnerability,0,0.25,supply_chain,This is a third-party dependency bump (@hashgraph/proto and long) with mechanical import-style adaptations; the wallet's own code has no custody-relevant defect being repaired.,dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/4370,fix(root): web3-utils vulnerability,0,0.2,supply_chain,"This is a third-party dependency bump for web3-utils to address an upstream advisory, with no changes to the wallet's own code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/4797,feat(root): upgrade commitlint to fix semver vulnerability,0,0.05,supply_chain,"This is a dev-tooling dependency bump (commitlint) that does not touch any wallet runtime, key, signing, or custody-relevant code path.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/d35616e88f5c0b92c6c99fd2ca8d78888cc43730,build: address Serialize-JavaScript XSS vulnerability GHSA-76p7-773f-r4q5,0,0.1,none,"This is a third-party dependency bump to address a CVE, which does not represent a defect in the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/7029,fix(deps): resolve tar DoS vulnerability GHSA-f5x3-32g6-xq36,0,0.1,none,"This is a third-party dependency bump for the tar package to fix a DoS CVE, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/8409,chore: fix lodash vulnerability,0,0.05,none,This is a third-party dependency version bump for lodash across package.json files; the wallet's own code has no defect being repaired.,dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/7064,fix: resolve store2 vulnerability via yarn resolution,0,0.15,supply_chain,"This is a dependency resolution bump for a transitive store2 XSS CVE with no direct usage in the wallet's own code, so the wallet itself has no defect being repaired.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/78989907c740574710c387a82ec49a89c0d81dc1,fix(root): pin postcss to 8.5.12 to address CVE-2026-45623,0,0.15,none,"This is a third-party dependency version pin to address a CVE in postcss, which the wallet's own code does not have a defect for.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/7645,fix: GHSA-vqpr-j7v3-hqw9 CVE-2025-66020,0,0.1,none,"The diff only contains TypeScript type refactors (ArrayBuffer to ArrayBufferLike) and a third-party dependency bump for valibot, with no added validation or guards in the wallet's own custody-relevant",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/45f6e059dd3b09ffbcefafef6a76460a5f8fa81c,fix(deps): pin axios to 1.15.0 for CVE-2025-62718,0,0.15,supply_chain,"This is a third-party dependency version bump for a CVE fix, not a defect in the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/0c8d59e560fd888d16aa46472053adcc26a7caa1,chore: add minimatch CVE-2026-26996 to audit exclusions,0,0.05,none,"This is an audit-config change excluding a dev-time ReDoS CVE in a transitive build/test dependency, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/336d77182db207c3d8ff285a34c72fb8f45c963e,fix(root): patch CVE-2022-46175,0,0.05,supply_chain,"This is a third-party dependency bump to patch a CVE in json5, which the rules explicitly classify as an ordinary change since the wallet's own code has no defect.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/50148c69cf715b8374e8c8c790a24717b942f81b,CT-625: Upgrade lodash packages for CVE-2019-10744 fix,0,0.15,none,"This is a third-party dependency bump for lodash to pick up a CVE fix, not a defect in the wallet's own custody-relevant code.",dependency-supply-chain
cosmjs,https://github.com/cosmos/cosmjs/commit/6cfedd523381641a3bf04d0808e9872cb21632b4,chore(deps): Fix security vulnerabilities reported by yarn audit,0,0.15,supply_chain,"This is a dependency version bump via yarn resolutions and PnP config updates, not a fix to the wallet's own code, so per the threat model it is an ordinary dep bump even though the upstream advisorie",dependency-supply-chain
dfns-sdk,https://github.com/dfns/dfns-sdk-ts/pull/307,chore(deps): bump react-router and react-router-dom in /examples/sdk/auth-delegated-key-credential/web,0,0.05,none,"This is a routine dependency version bump for react-router/react-router-dom in an example app's package files, with no changes to the wallet's own custody-relevant code.",dependency-supply-chain
metamask-mobile,https://github.com/MetaMask/metamask-mobile/commit/9fe2df2fa90e9e84de64ea1b1a6db9316cf1ad43,deps/security: vm2@3.9.11->3.9.17 (#6238),0,0.1,none,"This is a third-party dependency bump for a CVE, which the rules explicitly classify as an ordinary change since the wallet's own code has no defect.",dependency-supply-chain
metamask-mobile,https://github.com/MetaMask/metamask-mobile/commit/95867cd5ec7fdf80072947693c753f275222023c,deps/security: vm2@3.9.11->3.9.15 (#6150),0,0.1,none,"This is a third-party dependency bump (vm2) to address a CVE, which per the threat model is an ordinary change since the wallet's own code has no defect.",dependency-supply-chain
metamask-sdk,https://github.com/MetaMask/metamask-sdk/pull/1111,fix: potential security issue with secp256k1,0,0.2,none,"The diff only bumps third-party dependencies (secp256k1, eciesjs) without changing the wallet's own code, which per the threat model is not classified as a security fix.",dependency-supply-chain
metamask-snaps,https://github.com/MetaMask/snaps/pull/1631,"Bump semver to ensure signed provenance, CVE fix",0,0.12,supply_chain,This is a third-party dependency version bump for semver to pick up a CVE fix and signed provenance; the wallet's own code has no defect being repaired here.,dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/pull/39015,chore(security): Set yarn resolution for `qs` to patch vulnerability,0,0.15,supply_chain,"This is a third-party dependency bump for qs to patch an upstream DoS CVE, with no defect in the wallet's own custody-relevant code.",dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/pull/41235,release(runway): cherry-pick chore: Address new security advisories cp-13.24.0,0,0.05,none,"This is a third-party dependency bump (yaml, picomatch) to resolve advisory warnings, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/commit/a827c444fbc8998ff46b86075f829477d8f900c7,devDeps: security updates roundup (#18739),0,0.05,none,"This is a devDependencies bump for build-time tooling (storybook-deployer, terser, shelljs, etc.) with corresponding lavamoat policy and lockfile updates; the wallet's own custody-relevant code has no",dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/commit/dacdaf031cd1b35a45e03041e55709d6302de4be,security: patch request for CVE-2023-28155 (#18208),0,0.35,supply_chain,"This patches a third-party dependency (the `request` library) for CVE-2023-28155 (SSRF via protocol-downgrade redirects), but the wallet's own code has no defect; per triage rules, dependency CVE patc",dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/pull/39349,fix: tar audit vulnerability by forcing patched version,0,0.15,supply_chain,"This is a third-party dependency version bump to resolve a CVE in the tar package, plus CI bot allowlist changes; the wallet's own custody-relevant code has no defect.",dependency-supply-chain
metamask,https://github.com/MetaMask/metamask-extension/pull/17355,Fix cookiejar dependency vulnerability,0,0.2,supply_chain,"This is a third-party dependency version bump in package.json/yarn.lock, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
web3j,https://github.com/LFDT-web3j/web3j/pull/1618,368 upgrade jnr unixsocket to 0.38.17 (fix CVE-2020-15250) (#1616),0,0.15,supply_chain,This is a third-party dependency version bump to pick up an upstream CVE fix; the wallet's own code has no defect here.,dependency-supply-chain
yoroi,https://github.com/Emurgo/yoroi-frontend/pull/1992,[Security] Bump react-dev-utils from 11.0.2 to 11.0.4 in /packages/yoroi-extension,0,0.15,none,"This is a third-party dev-dependency bump in package-lock.json; the wallet's own custody-relevant code has no defect, and react-dev-utils is a build-time tool not in the runtime signing/key path.",dependency-supply-chain
yoroi,https://github.com/Emurgo/yoroi-frontend/pull/1840,[Security] Bump node-notifier from 8.0.0 to 8.0.1,0,0.05,none,"This is a third-party dependency bump in package-lock.json; per the threat model, bumping a dependency (even one that fixed a CVE) is not a security fix in the wallet's own code.",dependency-supply-chain
yoroi,https://github.com/Emurgo/yoroi-frontend/pull/1652,[Security] Bump serialize-javascript from 3.0.0 to 3.1.0,0,0.15,none,"This is a third-party dependency bump in package-lock.json, which the threat model explicitly excludes from being a security fix even though the dependency patched a CVE.",dependency-supply-chain
yoroi,https://github.com/Emurgo/yoroi-frontend/pull/1246,[Security] Bump handlebars from 4.1.2 to 4.5.3,0,0.1,none,"This is a third-party dependency bump in package-lock.json, which the threat model explicitly excludes from being a security fix.",dependency-supply-chain
ambire-common,https://github.com/AmbireTech/ambire-common/commit/3fc3648634b93966e62056bc6149f5f9167cfd6c,Fix: Critical CVE - handlebars 4.7.8,0,0.05,none,"This is a third-party dependency bump for handlebars, which is explicitly excluded as a security fix since the wallet's own code has no defect.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/commit/bbb6e7beb4015e2f79e9db7ca0c0ec20b8eeff93,fix: force request to use @cypress/request@3.0.9 to address security vulnerability,0,0.05,none,"This is a third-party dependency bump/resolution to address a CVE in the request package, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/9010,fix: update package deps to fix vuln,0,0.1,none,"This is a third-party dependency bump to fix a CVE in gRPC, which is explicitly excluded as the wallet's own code has no defect.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/7562,chore: update esbuild dependancy tree in babylonlabs,0,0.05,none,"This is a third-party dependency bump (esbuild) to address a CVE in the dependency, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/7044,DX-1513-address-ws-dependancy,0,0.15,none,This is a third-party dependency bump pinning the `ws` package to a patched version; the wallet's own code has no custody-relevant defect.,dependency-supply-chain
bitgo,https://github.com/BitGo/BitGoJS/pull/8324,feat: define sjcl type definitions,0,0.25,supply_chain,This is a third-party dependency swap from sjcl to a @bitgo/sjcl fork (plus type definitions and CVE-scan exclusion config); the wallet's own code has no defect being repaired.,dependency-supply-chain
brave-wallet,https://github.com/brave/brave-core/pull/28064,address GHSA-jr5f-v2jv-69x6,0,0.15,supply_chain,"This is a dependency version bump in package-lock.json to address an upstream advisory, not a fix to the wallet's own code.",dependency-supply-chain
duo-webauthn,https://github.com/duo-labs/webauthn/pull/115,"replace satori/go.uuid with well-mantained gofrs/uuid, fixes CVE-2021-3538",0,0.2,none,"This is a third-party dependency bump to fix a CVE in the dependency, but the wallet's own code has no defect and the usage appears to be parsing rather than generation.",dependency-supply-chain
edge,https://github.com/EdgeApp/edge-react-gui/pull/6046,"Bump undici, @react-native-firebase/app and @react-native-firebase/messaging",0,0.05,none,"This is a third-party dependency bump in package-lock.json, which the threat model explicitly classifies as an ordinary change regardless of upstream CVEs.",dependency-supply-chain
electrum,https://github.com/spesmilo/electrum/pull/7786,git update to 2.17.1-1ubuntu0.11 for appimage,0,0.05,supply_chain,"This is a build-environment dependency version bump (git in a Dockerfile), not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
eth-sig-util,https://github.com/MetaMask/eth-sig-util/commit/90fecafc621b2d54720b8fa7e7340189d0cdc6d5,devdeps: bump @babel/* in lockfile (#311),0,0.05,none,"This is a lockfile-only bump of @babel/* dev dependencies; per the threat model, bumping third-party dependencies (even for CVEs) is not a wallet security fix.",dependency-supply-chain
eth-sig-util,https://github.com/MetaMask/eth-sig-util/pull/102,Use bl@4.0.3,0,0.05,none,"This is a third-party dependency bump to address a CVE, which per the threat model is not a security fix in the wallet's own code.",dependency-supply-chain
feather,https://github.com/feather-wallet/feather/commit/352ae7fa69be5091a3c8b24adc5a80210bb27056,depends: unbound: patch for CVE-2024-8508,0,0.15,none,"This is a vendored patch to the third-party unbound DNS dependency (CVE-2024-8508 DoS mitigation), not a defect in the wallet's own custody/signing code.",dependency-supply-chain
feather,https://github.com/feather-wallet/feather/commit/109c378044e2e087ec281baa0315db4937cd40a0,depends: qt: patch for CVE-2024-39936,0,0.15,none,"This is a vendored third-party Qt dependency patch (CVE-2024-39936) applied via the depends build system, not a fix to the wallet's own custody/signing/key code.",dependency-supply-chain
feather,https://github.com/feather-wallet/feather/commit/5e60d472a289699a7ce36595f8866afd806ae872,depends: qt: patch for CVE-2023-45872,0,0.1,none,"This is a patch applied to a vendored third-party dependency (Qt SVG) to fix a CVE, which the threat model explicitly classifies as an ordinary change rather than a security fix in the wallet's own co",dependency-supply-chain
feather,https://github.com/feather-wallet/feather/commit/ca88a2aa4f327ef8170cf32ca00abeca7be1d914,depends: qt: patch CVE-2023-37369,0,0.15,none,"This is a vendored patch to a third-party Qt dependency (CVE-2023-37369), not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
fireblocks-mpc,https://github.com/fireblocks/mpc-lib/pull/36,[Snyk] Security upgrade ubuntu from focal to 20.04,0,0.05,supply_chain,"This is an automated Snyk PR bumping a Docker base image tag, not a fix to the wallet's own custody-relevant code.",dependency-supply-chain
