wallet,source_url,title,silent_fix_prob,vuln_class,is_backport,n_files,reason,mechanism
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/ddcde038d0aee07bd550cd27b61d12bf921d0813,HDNode: enforces sane seed lengths,0.9,key_material,False,2,Adds bounds checks to HDNode seed generation to prevent weak entropy (under 128 bits) or invalid seed lengths from being used for key derivation.,input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/53595784e129632dbf4d9e680691837edef09490,ECSignature: fixes for canonical signatures,0.9,signing,False,3,"Adds strict canonical signature validation (negative R/S, excessive padding, hashType bounds) to prevent signature malleability and acceptance of invalid signatures.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/3ed7d78e5941bf8bba1b349441377601cad328c8,HDWallet: adhere to BIP32 for CKD,0.9,key_material,False,1,"Fixes BIP32 child key derivation by adding required checks for IL >= n and ki == 0 / Ki == infinity, preventing the derivation of invalid or weak child keys.",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/c3e9d568c58c743a9fbaebe0a56c05f4e6280194,Adds RFC6979 test vectors and fixes ecdsa.sign/detGenK,0.9,signing,False,4,"Fixes RFC6979 deterministic K generation and adds zero-value checks for r/s in ECDSA signing, preventing weak nonce generation and signature malleability/invalidity which could leak private keys.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a4ab75d560a43c293381049f517c2ea571448af7,Renames network parameter to netstr,0.9,key_material,False,1,"Catching the null case for the seed parameter prevents BIP-32 derivation from a predictable null seed, which would lead to catastrophic key material leakage and fund loss.",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/1f0fb902137c77b607e26ec1de97269f88049a19,"Pads zeros in toBytes output, fixes #121",0.9,key_material,False,1,"Fixes a key/signature serialization bug by padding byte arrays to 32 bytes, preventing the loss of leading zeros which would result in mathematically incorrect keys or invalid signatures.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a7a7999e3f10b4b4b1fc3fa2b30256d534bab458,fix Wallet default constructor,0.9,key_material,False,2,"The default constructor was writing RNG output into a local `seedBytes` variable instead of the `seed` parameter, so a wallet created without an explicit seed would derive keys from an empty/undefined",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/27ec74ba8a16ace28fbbbf53b756da0ad6fd24c5,Fixed all cases of unsafe BigInteger <-> byte[] conversion.,0.9,key_material,False,4,"Fixes unsafe BigInteger byte-array conversions that could misinterpret private keys, signature components (r/s), and message hashes as negative numbers, corrupting key material and signing in ECDSA.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/1d87e578fcb7649171d991f9542f3d83c061bc61,sign tapLeaf with sighashType,0.85,signing,False,1,"Fixes Taproot PSBT signing to use the input's specified sighashType instead of hardcoding SIGHASH_DEFAULT, which previously caused the wallet to sign a hash computed over a different commitment than t",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/b5fd4d644c4b7a9dfc6f6fd4046626c37596241b,Fix: Taproot signature validation was incorrect again.,0.85,signing,False,5,"Taproot signature validation was using incorrectly-derived output keys (tweaking internal pubkey instead of reading the actual key from the prevout script), which could cause the wallet to accept or r",signature-verification-gap
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/057cdc55aef57143aa57d48ae36e0ffc9067e745,feat: check if taproot signature are present before allowing psbt changes,0.85,signing,False,3,"Adds missing Taproot signature detection to PSBT mutation checks, preventing a signed PSBT from being silently modified (e.g., adding outputs) in violation of its sighash commitments.",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/e10324f850bcaf371d5363ae3bbb3e9370dee53a,PSBT Bugfix for multiple of same pubkey in p2ms,0.85,signing,False,3,"Fixes a PSBT finalization flaw where multiple signatures from the same key could incorrectly satisfy an m-of-n multisig requirement, leading to invalid transaction construction or false approval state",signature-verification-gap
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/fa897cf78e48942aebb8cfcc308e3af0be22490d,Check signatures for sighash type before finalize,0.85,signing,False,2,"Adds a validation that each partial signature's sighash type matches the input's declared sighashType before finalizing a PSBT, preventing finalization of a transaction signed over a different message",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/36a966cfcdafd9245d60e31d26c619981d0240fa,Check actual sighash flags instead of psbtInput one,0.85,signing,False,2,"The fix validates sighash flags by decoding the actual signature bytes rather than trusting the separately-set PSBT input field, preventing an attacker from spoofing sighashType to allow transaction m",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/14eeb309df25c59ebf01f05078036425c33b9a65,Add fee checking before extract,0.85,signing,False,3,"Adds a maximum fee-rate check before extracting/signing a PSBT, preventing a malicious dapp or PSBT from tricking the user into signing a transaction that burns funds via exorbitant fees.",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/45bd5b47516dad0a1f1ba6d37fba9cf1218f2a8f,"Check for signatures, add setSequence",0.85,signing,False,3,"Adds guards to prevent modifying a PSBT (adding inputs/outputs, changing version/locktime/sequence) after partial signatures exist, which could otherwise let an attacker alter transaction semantics af",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/f87b66eb24850fbca2a8626e8473d4ece0b22ae1,Finish sign,0.85,signing,False,2,"Replaces a placeholder zero-hash (Buffer.alloc(32)) in the PSBT signing path with proper BIP-143/legacy sighash computation and adds witnessScript validation, fixing a critical defect where signatures",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/667ffb58eb14aafef64b1816f9bf3e2adf610c50,Use signature encode,0.85,signing,False,2,"Replaces a hardcoded placeholder signature in the PSBT signing path with the actual encoded signature using the correct sighash type, fixing a critical signing defect.",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/08627e65a3faeade0b81ab2487379de773bdb6d0,Check redeem script matches witness utxo when signing PSBT input,0.85,signing,False,2,"Adds a PSBT input validation ensuring the redeemScript matches the witnessUtxo scriptPubKey, preventing a malicious PSBT from tricking the wallet into signing over an unexpected script.",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/5fd18d806f8dbce87b176cd2a3f869a82dc07990,Check redeem script matches when signing PSBT input,0.85,signing,False,2,"Adds a validation that the redeem script in a PSBT input matches the prevout's scriptPubKey before signing, preventing a malicious PSBT from tricking the wallet into signing with an inconsistent scrip",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/98dff9a47e810292b17284a3797cfee437e994d1,Check Non-witness UTXO hash when signing PSBT input,0.85,signing,False,2,"Adds a PSBT input validation that rejects a non-witness UTXO whose hash does not match the prevout, preventing a malicious PSBT from tricking the wallet into signing a transaction with mismatched UTXO",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/3ffac6cd397d79419bde7c5c959ef6744c52e1f0,add witnessPubKeyHash compressed policy,0.85,signing,False,2,"Enforces canonical signatures and compressed public keys for P2PKH/P2WPKH inputs, preventing signature malleability and invalid standard transactions.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/b24dc44770e3b1cb545904ad1ee3d95f38fbb146,"P2WSH working, now for tests",0.85,signing,False,2,"Fixes P2WSH witness script hash computation from hash256 (double-SHA256) to the correct SHA256 per BIP141, a signing-path defect that would produce invalid witness scripts and break fund-spending tran",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/b14abac4a1534fdd6d96a272485fa5ca7a300f9e,HDNode: remove HDNode.toString for safety,0.85,key_material,False,1,"Removing the toString alias to toBase58 prevents accidental implicit string coercion of an HDNode (which contains key material) from leaking the base58-encoded extended key in logs, error messages, or",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a5196dedcb3ce9137c27f5f13ac65e36b3d6c7bc,"ECPair: enforce <= 0, not just ===",0.85,key_material,False,1,"Fixes private key generation to reject negative values, preventing invalid or weak key material from being accepted in the secp256k1 signing path.",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a72e608898c8c9372ee96605321992786a0ab219,ECPair: loop until within interval,0.85,key_material,False,1,"Rejects a zero-valued private key scalar during random key generation, preventing an invalid/weak key that would break signing authority and fund control.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/b89c82b9a651f11fe69a5d9a4f1e40bc72af2941,ECKey: fix modulo bias in makeRandom,0.85,key_material,False,1,"Replaces modulo reduction of random bytes with rejection sampling, eliminating modulo bias in private key generation.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/92f9342c69c042bf18ca31b9ed205f4a5de30c26,adhere more closely to BIP66,0.85,signing,False,3,"The diff implements strict BIP66 DER signature parsing, preventing the acceptance of malformed or malleable signatures.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/e9778ae358b5d6da69e5ceade8e8227dddf6d8be,ecdsa: fixes edge case presented in #336,0.85,signing,False,3,"Fixes ECDSA signing edge cases where r=0, s=0, or Q is the point at infinity by retrying k-generation instead of asserting, preventing invalid or crash-prone signatures in the wallet's core signing pa",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/377b815417011d4839381ff7967cb1cf3e416b55,TxBuilder: transform all signatures once,0.85,signing,False,1,"Fixes a logic error where a transformed script signature was overwritten by the raw, untransformed signature, preventing potential signing or serialization flaws.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/4f8040f8d41fc0512ac7959111cbdd049673a233,ecdsa: add invalid test fixtures for recoverPubKey,0.85,signing,False,3,"Adds a subgroup check (n*R == Infinity) to recoverPubKey, preventing invalid-curve or small-subgroup attacks during signature recovery that could lead to signature verification bypass or wrong public ",curve-point-validation
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/2f446286047557f8ac9356c068bf55797ace5f73,Transaction: refactor hashForSignature,0.85,signing,False,1,"Fixes transaction sighash computation by correctly removing OP_CODESEPARATOR and explicitly rejecting unsupported sighash types (SIGHASH_NONE/SINGLE/ANYONECANPAY), preventing the generation of invalid",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/54950c9abb736f15a308644a1f49bb5a2515632a,Transaction: fix SIGHASH_* constant values,0.85,signing,False,1,"SIGHASH_ANYONECANPAY was incorrectly defined as decimal 80 instead of 0x80 (128), so any transaction signed with that flag would use a wrong sighash type, corrupting signature semantics in the signing",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/d14b08efd1bf95749cbc32b29fb0f69f67a35b42,ec/dsa: recovery param now used consistently,0.85,signing,False,2,"Fixes inverted recovery-parameter/y-parity logic in ECDSA public-key recovery, which could cause signatures to be attributed to the wrong signer (a signing verification bypass).",signature-verification-gap
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/d7c2e4d5a5e75029fc9ff22dc2cb50e08508a3b4,Uses low 's' values for signatures,0.85,signing,False,2,"Adds low-s normalization to ECDSA signatures to prevent signature malleability per BIP-62, a custody-relevant signing-path fix.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/40881a7dd81f672095ce971d103f5712c27041c2,add back SIGHASH code to transaction,0.85,signing,False,1,"Restores correct SIGHASH_NONE/SIGHASH_ANYONECANPAY transaction serialization in the signing path, without which the wallet would compute signatures over unintended transaction data.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/786198f130ba2acbf1e8fa9afb2e65d51898f456,* Fixes address.js to be able to deal with testnet P2SH addresses * Enhanced address.js testsuite...now also verifies address versions * Enhances README to show how to run test suite,0.85,signing,False,4,"Fixes script.js using `!address.version` to distinguish P2PKH from P2SH, which misclassified testnet P2PKH addresses (version 0x6f, truthy) as P2SH, causing transactions to send funds to unspendable s",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/14803d053858bd153f5b5c21f6e8c17f95d1bf7e,fix check for public key when making a private derivation.,0.85,key_material,False,1,"The fix corrects an inverted guard in BIP-32 private derivation that allowed private derivation on a public key (and blocked it on a private key), which would produce wrongly derived keys and could ca",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/9fd46c22fee6540321752ccee18a595abb7ea79d,missing modulo operation.,0.85,key_material,False,1,"BIP32 child key derivation was missing a modulo-n reduction after adding the tweak, so derived private keys could be out of valid range, producing wrong keys and loss of funds.",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/49114d65404ef975422a0ff33f6f83d55eedf6b8,Fix signMessage serialization.,0.85,signing,False,1,"Fixes ECDSA signature serialization that incorrectly read the r component instead of s, which would produce malformed/invalid signatures in the Bitcoin message signing path.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/d03e4899132b26aeb659b4de59d59e86b85f9dd6,Use correct function to determine yP for pubkey compression. Fixes #6.,0.85,key_material,False,1,"Fixes inverted parity check in public key compression, which would cause the wallet to derive incorrect addresses and lose funds.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/50b13d2941bb7195a8f1d4aa4d20b75234b5bfd6,More work on split key protocol.,0.85,mpc,False,4,"The diff replaces a TODO for proving alpha/beta safety with actual zero-knowledge-style verification of the co-signer's partial signature and ciphertext consistency, preventing a malicious MPC partici",signature-verification-gap
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/c2dfc03869c422162f87ca2a88a4a1a0c9423f64,"Add test vectors, and transaction_builder input stores signScript",0.82,signing,False,5,"Fixes sighash computation in TransactionBuilder by correctly deriving signScript/signType during prepareInput (including a prevOutScript-vs-prevOutType comparison bug and P2WPKH script re-encoding), p",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/abac254d0d2c6e57e937609c13ca1ac9cefeb51b,script: use bip66 for signature checking,0.82,signing,False,2,"Replaces fragile custom DER signature validation (regex-based error matching) with proper BIP-66 strict DER checking, preventing potential acceptance of non-canonical or invalid signatures in the sign",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/917822541cada65763509a68c70180290f23421e,Fixed serialization bug,0.82,signing,False,2,"Fixes a misplaced parenthesis in transaction output serialization that dropped the 8-byte length argument from numToBytes, corrupting the serialized form used for sighash computation and thus producin",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/4802803b4bbf2b6160bd5f99f2ffee0d90accfa0,fix: added error with clear message when signing a tx without outputs,0.8,signing,False,2,"Adds a validation check on the signing path to prevent signing a transaction with no outputs, which would otherwise burn all input values as miner fees.",authorization-check
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/e3c16e6be31851b101b28aad6a6c29623d08d642,"This commit aims to prevent the creation of unspendable scripts in bitcoinjs-lib by implementing checks for resource limitations. Specifically, it addresses the following issues: * Scripts over 520 bytes are invalid by consensus (P2SH). * Scripts over 3600 bytes are invalid by standardness (P2WSH, P2SH-P2WSH). * Scripts where the total number of non-push opcodes plus the number of keys participating in all executed multis, is above 201, are invalid by consensus. However, it is important to note ",0.8,signing,False,9,Adds bounds checks on redeem script size and op-count in p2sh/p2wsh to prevent the wallet from constructing unspendable scripts that would permanently lock user funds.,input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/7bc0c8ec33ac70272dde98ed64265c0ec5d92a68,feat: check for hash mismatch between the input hash and the computed hash from the taproot tree,0.8,signing,False,3,"Adds a validation check in Taproot (p2tr) payment logic to ensure the provided hash matches the computed MAST root, preventing the wallet from constructing or signing transactions with inconsistent sc",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/ba33f0317f3d102be69ad269eb584a12ff7d5bcc,Add check for spending more than you have,0.8,signing,False,2,"Adds a validation check in the PSBT extraction path to throw an error if outputs exceed inputs, preventing the wallet from signing an invalid transaction that spends more than it has.",authorization-check
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/3e7f490093303417e069a8a629103a774be97fad,Check for input empty on parse,0.8,signing,False,2,"Adds a BIP-174 validation check to PSBT parsing ensuring global transaction inputs have empty scriptSigs and witnesses, preventing malicious PSBTs from tricking the wallet into signing an unintended t",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/ed1c1a5661efa2f274b4a57f6a0b5a8dd68c4e2d,txb: enforce outputs exist when signing,0.8,signing,False,3,"Adds a guard in the signing path that rejects transactions with zero outputs, preventing a user from signing a transaction that would send all input value to miner fees (fund loss).",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/581f57ff6fb0e953004bc2795a058a09af2101f2,script/tx: decompile returns maybe chunks,0.8,signing,False,5,"Fixes malformed script handling in transaction building and classification paths, preventing misclassification or crashes when processing untrusted transaction inputs.",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/6e5742d86d727c68b732f74f426a7aa10bfc2544,Fix txb.__overMaximumFees for segwit,0.8,signing,False,1,"Fixes a segwit fee calculation bypass where using byteLength() instead of virtualSize() underestimates the fee rate, potentially allowing the wallet to sign transactions with excessively high fees tha",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/152eed57a013d8d9832d3bc1494c31fa5f35f0cc,templates/pubkey: only canonical pubkeys to encode,0.8,signing,False,1,Adds canonical signature validation to prevent signature malleability in the transaction signing path.,encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/5824a84fd590de280019ae7650eff2f7d089496c,transaction_builder: keep a mapping from prevTxOut to vin,0.8,signing,True,1,"Fixes a duplicate input detection bypass in the transaction builder when the input index (vin) is 0, preventing potential transaction construction and signing anomalies.",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/9899417286552f7afd80ba4a6ebe95179b1cbfbb,transaction_builder: keep a mapping from prevTxOut to vin,0.8,signing,True,1,"Fixes a duplicate input check bypass when the input index (vin) is 0, preventing the construction of malformed or double-spent transactions that could lead to signing errors or transaction malleabilit",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/433d9f1b18c7ee9ecbae990e1ff3973d6e9369e2,"templates: push only for scriptHash inputs, fixes #705",0.8,signing,False,1,"Enforces BIP-16 push-only rules for P2SH scriptSig construction and parsing, preventing invalid or malleable transactions that could lead to loss of funds or signing bypasses.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a9f124423ffec1ebd3f5f1ab1bdbda4a70e2b2bd,Test that parsing a transaction with superfluous witness data leads to an error,0.8,signing,False,1,"Fixes a shared-reference bug where mutating a global EMPTY_WITNESS array caused hasWitnesses() to fail, potentially dropping witness data during serialization and resulting in invalid transactions or ",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/62389ed247f07f3c71b6d7d4d9185a0b08d466f4,"TransactionBuilder: change to ABSURD_FEERATE, not ABSURD_FEE",0.8,signing,False,3,"Changes the absurd fee check from an absolute fee threshold to a fee-rate threshold, preventing users from signing transactions that leak funds to miners via exorbitant fee rates.",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/e835f1fe95496e7759d211f9660988b43f3c08a6,TransactionBuilder: add fee safety,0.8,signing,False,4,"Adds an absurd fee check during transaction building to prevent accidental or malicious fund loss to miners, and fixes a floating-point precision bug in the maximum satoshi supply bound check.",other
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/3ee8b817b07c25f942c6bcddfe47c0373c18ecca,wallet: use randomBytes over crypto,0.8,key_material,False,1,"Switching seed generation to the `randombytes` package ensures a cryptographically secure RNG is used (and fails loudly if unavailable) across environments, preventing weak entropy in browserified con",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/a529b3fa0bd315f4b0254c5afa2a82c56e6d3a4f,TxBuilder: copy version/locktime in fromTransaction,0.8,signing,False,3,"Fixes a bug where transaction version and locktime were dropped during transaction building, which could cause a user to sign a transaction that bypasses intended timelocks or alters the sighash.",signed-differs-from-shown
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/35542e115df07eefd9f0cb6fb7d181fa7946116a,types: enforce consistent type checking,0.8,key_material,False,10,Adds a length check on RNG output to prevent weak key generation and enforces strict type validation on sighash and transaction inputs to prevent signing errors.,nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/daa2cb7daabc0b8a2368c02021de512d76ebe259,scripts: fix classification logic,0.8,signing,False,1,"Adds canonical signature and public key validation (DER parsing, padding checks) to script classification, preventing signature malleability and malformed input parsing in transaction paths.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/bdc7131d0eb06b246e0df24acb7e9a64a0c88369,Transaction: renames getHash to getId,0.8,signing,False,4,"Removes the ability to spoof a transaction's hash during deserialization, preventing malicious or malformed transactions from tricking the wallet into using incorrect prevout references for signing or",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/6cfa729dae4699fb68bac754e749fdd54646324d,ecdsa: fix missing exceptions,0.8,signing,False,4,"Adds strict DER length validation to ECDSA signature parsing to reject malformed signatures with trailing bytes, preventing signature malleability or acceptance of invalid signatures.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/343289229eff85223f030c0f5e63c98854b6da22,ensures that pubKey length is greater than m ensure that pubKey length is greater than m,0.8,other,False,2,"Adds validation to prevent creating an unspendable multisig script when the required threshold exceeds the number of provided public keys, which would permanently lock funds.",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/ff08c2eec35a597b3704eb6033edff458391d4ba,Fixes #167 and adds temporary test,0.8,key_material,False,2,"Fixes incorrect BIP-32 child key derivation math in the wallet's HDWallet derive function, which previously could crash or derive incorrect keys.",key-derivation-storage
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/102f2bd0c99ce09f2859f377f3943d662f364516,make sure createInputScript convert pubKey to buffer before writing out bytes,0.8,signing,False,1,"Fixes multisig output script creation to correctly serialize public keys, preventing the creation of invalid scripts that could permanently lock funds.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/bc37e650148db2e5d947c84e51167cbd8f37b8a6,Enforces Array input for deterministicGenerateK,0.8,signing,False,3,"Enforces Array input types for deterministic ECDSA nonce generation, preventing type confusion bugs that could result in weak or incorrect nonces and subsequent private key leakage.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/6fa0c0776382701c3ea8e1336d40c0ca5ace94bf,Changes existing code to use new base58 API,0.8,key_material,False,7,"Fixes a checksum validation bypass in HD wallet (BIP32) base58 import where the checksum was only verified if the input length exactly matched the expected length, allowing malformed or corrupted key ",input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/44012b47b5c817fcebe566c4bfc841f1fb2b49bc,change hd wallet constructor to take bytes,0.8,key_material,False,2,"Fixes BIP-32 key derivation by passing raw bytes to the constructor instead of roundtripping binary seed data through string conversion, which could corrupt arbitrary seed bytes and derive wrong keys.",encoding-canonicalization
